stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,0.5,14.5,31.72048050002195,,31.703550099977292,31.72048050002195,32.203842999995686,32.203842999995686,32.22000139998272,32.953281600028276,right,14.5,1,1,0.7392745999968611,32.50366930000018,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
25,0.5,14.5,32.96955700003309,,32.95345730002737,32.96955700003309,33.45371209998848,33.45371209998848,33.47046219999902,34.103116300015245,right,14.5,0,0,0.6386754999984987,33.752973499998916,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
26,0.5,15.0,34.11929390003206,,34.10335380001925,34.11929390003206,34.60260829998879,34.60260829998879,34.62004250002792,35.21954110002844,left,-15.0,0,0,0.6149161999928765,34.902718500001356,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
27,0.5,15.5,35.237440299999435,,35.21972160000587,35.237440299999435,35.719665099983104,35.719665099983104,35.752588999981526,36.6695637999801,left,-15.5,1,1,0.9486597999930382,36.01927250000881,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
28,0.5,15.5,36.686145599989686,,36.66974340000888,36.686145599989686,37.169588699995074,37.169588699995074,37.18561300000874,37.72031619999325,right,15.5,1,1,0.5416536999982782,37.46855589997722,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
29,0.5,15.5,37.736476699996274,,37.720489100029226,37.736476699996274,38.22125619999133,38.22125619999133,38.235949599999,38.936546300014015,left,-15.5,0,0,0.7129223000374623,38.537031100015156,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
30,0.5,16.0,38.95279920002213,,38.93675360002089,38.95279920002213,39.4350896999822,39.4350896999822,39.46856459998526,40.11928879999323,right,16.0,1,1,0.6677683999878354,39.735049000009894,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
31,0.5,16.0,40.13519400003133,,40.11959090002347,40.13519400003133,40.61895000003278,40.61895000003278,40.63545190001605,41.2349367000279,left,-16.0,1,1,0.6089700000011362,40.91818730003433,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
32,0.5,16.0,41.25324130000081,,41.23512720002327,41.25324130000081,41.73582900001202,41.73582900001202,41.751834099995904,42.46908359997906,left,-16.0,0,0,0.7304383000009693,42.03561510000145,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
33,0.5,16.5,42.48459599999478,,42.46933270001318,42.48459599999478,42.96911710000131,42.96911710000131,42.986145699978806,43.652020999987144,right,16.5,1,1,0.6812804999644868,43.26823059999151,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
34,0.5,16.5,43.66848150000442,,43.652214300003834,43.66848150000442,44.15115540003171,44.15115540003171,44.16825280000921,44.917795400018804,left,-16.5,0,0,0.7625538000138476,44.451214500004426,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
35,0.5,17.0,44.934295399987604,,44.917971100017894,44.934295399987604,45.4192391000106,45.4192391000106,45.43430000002263,46.05121489998419,left,-17.0,1,1,0.6182311999727972,45.73482800001511,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
36,0.5,17.0,46.06742809998104,,46.05143880000105,46.06742809998104,46.55104900000151,46.55104900000151,46.56711439997889,47.16866070003016,right,17.0,0,0,0.6167123999912292,46.85074359999271,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
37,0.5,17.5,47.184292200021446,,47.16884240001673,47.184292200021446,47.667554199986625,47.667554199986625,47.68409320001956,48.40094800002407,left,-17.5,1,1,0.724727300053928,47.96750959998462,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
38,0.5,17.5,48.41718009999022,,48.40117620001547,48.41718009999022,48.90048140002182,48.90048140002182,48.91744970000582,49.23430680000456,right,17.5,1,1,0.3204701999784447,49.200837999989744,654744,001,2025-09-04_17h13.59.925,adaptive staircasepsyexp,,2025.1.1,59.44349005064604,2025-09-04 17h14.06.046583 +0530,
